#{"t_start": 1599129303.3897023, "env_id": "DeeplengDocking-v1"}
r,l,t
-21242.682462,4,1471.964204
-20000,1,1474.059407
-21027.785203,3,1478.208148
-21021.822428,3,1482.363426
-20760.804808,2,1485.489816
-24931.525765,11,1497.858841
-20383.192904,2,1500.981098
-20528.852155,2,1504.107059
-20000,1,1506.203051
-20000,1,1508.299319
-20417.213502,2,1511.41964
-31082.689269,24,1537.159432
-20000,1,1539.257128
-20000,1,1541.356944
-30420.393901,23,1566.061202
-20000,1,1568.158901
-22138.690224,5,1574.365158
-25724.904059,12,1587.761028
-22324.068723,5,1593.971087
-20000,1,1596.068937
-20000,1,1598.161482
-20372.553104,2,1601.288343
-20000,1,1603.382972
-22885.03343,6,1610.616938
-20000,1,1612.717653
-21600.491833,4,1617.897799
-20376.464027,2,1621.01714
-27021.1975,15,1637.491754
-26385.107722,13,1651.922956
-25541.229257,12,1665.324959
-22067.067463,5,1671.528564
-20000,1,1673.623533
-20826.386065,3,1677.778648
-20386.704539,2,1680.904445
-20000,1,1683.000946
-20000,1,1685.095614
-20000,1,1687.199234
-21975.097682,4,1692.381566
-21069.069282,3,1696.538426
-21779.945127,4,1701.71431
-20496.335346,2,1704.839015
-28224.218373,16,1722.356268
-20000,1,1724.453875
-20000,1,1726.547446
-20000,1,1728.644718
-20000,1,1730.739704
-26566.778759,13,1745.171206
-20000,1,1747.269403
-20000,1,1749.361752
-20000,1,1751.456131
-20000,1,1753.553014
-22658.396561,6,1760.788994
-26078.252059,14,1776.242775
-22662.895061,6,1783.477135
-20000,1,1785.573447
-20412.032047,2,1788.693597
-20000,1,1790.791099
-20000,1,1792.891121
-20000,1,1794.99171
-20000,1,1797.09006
-27699.759045,16,1814.601113
-22347.10413,6,1821.835623
-20000,1,1823.930885
-20000,1,1826.028216
-20000,1,1828.128005
-20000,1,1830.222308
-20558.453649,2,1833.344964
-21506.596641,4,1838.521547
-20000,1,1840.621062
-20828.623707,3,1844.775255
-20000,1,1846.871979
-20000,1,1848.969259
-26092.166012,13,1863.399038
-21011.163291,3,1867.551096
-20371.28729,2,1870.673058
-20379.150641,2,1873.811649
-20000,1,1875.908481
-20000,1,1878.000592
-20000,1,1880.097034
-20000,1,1882.192881
-33971.416575,27,1910.97325
-20890.944119,3,1915.123057
-20000,1,1917.220665
-20714.951876,2,1920.34907
-24267.478009,9,1930.665544
-21325.068807,4,1935.850187
-25048.946021,12,1949.250903
-20460.633716,2,1952.37889
-20000,1,1954.47919
-21368.071212,3,1958.633629
-20392.440237,2,1961.758847
-20000,1,1963.857975
-20000,1,1965.955
-20000,1,1968.05305
-20645.568458,2,1971.178942
-20000,1,1973.273622
-20000,1,1975.365543
-21214.828136,4,1980.539228
-23975.659632,8,1989.822028
-20000,1,1991.923269
-20000,1,1994.019542
-20000,1,1996.11707
-20000,1,1998.212985
-20000,1,2000.309017
-20000,1,2002.40647
-20000,1,2004.501057
-20000,1,2006.596605
-20000,1,2008.692378
-20000,1,2010.788893
-30402.990968,21,2033.430835
-20446.533561,2,2036.561064
-20953.993862,3,2040.705619
-23104.405113,8,2049.994534
-22338.6753,5,2056.201031
-21443.748414,3,2060.351505
-21173.522183,3,2064.507424
-20582.982588,2,2067.629031
-25333.664629,12,2081.031529
-20389.651653,2,2084.1576
-27455.663934,16,2101.66933
-21169.751396,3,2105.825011
-20000,1,2107.921254
-20834.249644,3,2112.07129
-20000,1,2114.165601
-20000,1,2116.261541
-20000,1,2118.355918
-21051.249047,3,2122.500276
-21063.202276,3,2126.649666
-21505.40352,4,2131.822686
-20000,1,2133.926741
-20000,1,2136.025682
-20000,1,2138.12219
-24242.110773,10,2149.46461
-21487.694208,4,2154.643131
-21071.949937,3,2158.795696
-20000,1,2160.89149
-20000,1,2162.985367
-20000,1,2165.081261
-20000,1,2167.177087
-24193.544721,10,2178.52011
-21274.531694,4,2183.698399
-23321.628781,7,2191.971135
-20916.293002,3,2196.122967
-21697.823963,4,2201.303759
-20000,1,2203.401141
-23836.405408,8,2212.692951
-22208.430869,5,2218.89942
-20000,1,2220.997021
-24733.464304,10,2232.333039
-20000,1,2234.428779
-25717.148014,12,2247.831089
-20594.021673,2,2250.953099
-26795.174273,14,2266.410179
-21535.555132,4,2271.586724
-22098.714109,5,2277.791522
-20491.143447,2,2280.921553
-20963.351935,3,2285.067394
-20000,1,2287.165491
-20000,1,2289.265756
-20000,1,2291.362967
-20000,1,2293.4615
-20000,1,2295.559041
-20000,1,2297.65304
-32816.094221,27,2326.464221
-22848.350974,6,2333.701595
-21166.805091,3,2337.857568
-20708.416005,2,2340.987787
-21461.439604,4,2346.168661
-20000,1,2348.24698
-22074.406895,5,2354.454834
-20000,1,2356.547479
-21792.099553,4,2361.728919
-35116.646437,29,2392.587363
-20000,1,2394.680884
-20000,1,2396.778689
-21119.011045,3,2400.923495
-25711.471318,11,2413.302292
-20000,1,2415.399088
-20000,1,2417.496582
-20000,1,2419.589377
-23495.358155,8,2428.883302
-20000,1,2430.981868
-20000,1,2433.077832
-20993.911251,3,2437.229059
-21406.415372,4,2442.409146
-20000,1,2444.505324
-20000,1,2446.601512
-20000,1,2448.697595
-20000,1,2450.79346
-20000,1,2452.887005
-22851.940325,7,2461.140604
-20000,1,2463.236434
-20000,1,2465.339765
-26220.699407,13,2479.765375
-25508.299864,12,2493.120651
-21778.567017,4,2498.300938
-21862.099469,4,2503.483365
-20000,1,2505.57927
-27338.924597,14,2521.028789
-23458.408337,7,2529.296723
-21079.575061,3,2533.446541
-20000,1,2535.543499
-20000,1,2537.639308
-22489.474636,5,2543.842124
-20000,1,2545.936845
-25254.021759,12,2559.343439
-20000,1,2561.436941
-20000,1,2563.534977
-23824.255127,8,2572.821219
-20621.851718,2,2575.948519
-21234.157505,3,2580.100559
-20000,1,2582.199294
-20000,1,2584.290945
-20545.907336,2,2587.418983
-20000,1,2589.513522
-22437.165582,5,2595.890953
-20000,1,2597.989204
-20000,1,2600.086969
-20000,1,2602.183015
-20000,1,2604.277573
-20000,1,2606.376943
-20000,1,2608.477211
-27325.041598,16,2625.981215
-20549.811409,2,2629.109245
-20000,1,2631.203521
-23012.483258,7,2639.466074
-21673.803486,4,2644.649212
-20542.301742,2,2647.768932
-20000,1,2649.867442
-20000,1,2651.964947
-20000,1,2654.06099
-20000,1,2656.154883
-22679.122952,6,2663.395076
-21852.972614,4,2668.573428
-20000,1,2670.667022
-20000,1,2672.76499
-26789.218983,15,2689.241926
-21390.377764,4,2694.418357
-20389.835457,2,2697.541487
-24917.851096,10,2708.877449
-20000,1,2710.979364
-20000,1,2713.072887
-20000,1,2715.173166
-25811.904904,12,2728.579585
-21248.364632,3,2732.733234
-20000,1,2734.829887
-20000,1,2736.930126
-20000,1,2738.994886
-29144.000929,20,2760.627188
-20529.028055,2,2763.751061
