#{"t_start": 1599129303.3897023, "env_id": "DeeplengDocking-v1"}
r,l,t
-21893.094,5,5543.603041
-20000,1,5545.692726
-20000,1,5547.787319
-20000,1,5549.882893
-20000,1,5551.975986
-20000,1,5554.074439
-20883.425772,3,5558.219225
-20000,1,5560.31892
-21879.832079,5,5566.506366
-20000,1,5568.596074
-20000,1,5570.692676
-20000,1,5572.798111
-20000,1,5574.892984
-22234.904058,5,5581.097634
-20000,1,5583.197054
-20544.038094,2,5586.319642
-24366.993658,10,5597.663231
-26700.04121,13,5612.08867
-22315.527893,5,5618.291456
-20000,1,5620.384507
-22885.795049,7,5628.613106
-20000,1,5630.710115
-30168.726603,21,5653.357585
-20000,1,5655.431119
-22581.761993,5,5661.647398
-20000,1,5663.745261
-20875.979305,3,5667.886842
-25821.800864,12,5681.291536
-25269.712774,12,5694.677434
-20000,1,5696.771236
-20000,1,5698.841425
-22325.213429,6,5706.084538
-27615.07146,17,5724.611557
-20599.700337,2,5727.734887
-20871.519092,3,5731.883476
-20000,1,5733.97549
-20837.390952,3,5738.128767
-21625.118049,4,5743.309926
-20000,1,5745.373945
-20000,1,5747.471224
-20000,1,5749.564939
-20000,1,5751.663436
-25895.711653,12,5765.072932
-20000,1,5767.170696
-20434.34292,2,5770.291245
-32186.266855,23,5794.977015
-32630.120564,27,5823.761399
-21039.909604,3,5827.908882
-20000,1,5830.005703
-20000,1,5832.099599
-20654.248364,2,5835.212375
-20000,1,5837.311451
-21439.477934,4,5842.491973
-20000,1,5844.587155
-20967.639813,3,5848.739768
-21311.740911,3,5852.877455
-20000,1,5854.976431
-24322.982557,9,5865.274386
-22794.326944,6,5872.497028
-29218.278373,19,5893.061255
-22139.591757,5,5899.22701
-20000,1,5901.326889
-23087.936015,8,5910.609821
-20000,1,5912.707421
-20527.923012,2,5915.815197
-20540.667786,2,5918.944823
-21467.2153,4,5924.110698
-20000,1,5926.197476
-20466.680628,2,5929.318355
-20000,1,5931.417833
-21090.890833,3,5935.569464
-20722.376258,2,5938.691158
-20000,1,5940.78518
-21112.135937,3,5944.92543
-21573.969509,4,5950.099033
-20000,1,5952.194991
-20000,1,5954.281051
-20635.326572,2,5957.391032
-20000,1,5959.485127
-21336.784594,4,5964.662999
-20000,1,5966.761825
-20000,1,5968.857142
-21001.143344,3,5972.993103
-21853.423703,4,5978.172347
-25853.312117,12,5991.53154
-20000,1,5993.627196
-20393.52746,2,5996.750847
-20000,1,5998.846508
-20735.894827,2,6001.971109
-20000,1,6004.067504
-24317.004147,9,6014.376332
-20000,1,6016.468899
-20000,1,6018.565617
-20000,1,6020.661035
-20000,1,6022.760613
-24044.107044,8,6032.04955
-20435.796846,2,6035.175022
-22144.731249,6,6042.407617
-20000,1,6044.491518
-25634.574726,11,6056.853091
-21890.413427,5,6063.058552
-20511.749857,2,6066.184765
-23123.182232,7,6074.441506
-30534.063618,21,6097.045084
-20376.438548,2,6100.164018
-20643.931424,2,6103.291049
-23313.492768,8,6112.544921
-21704.780994,4,6117.727539
-20549.226766,2,6120.84907
-21019.175658,3,6125.002458
-22804.157681,7,6133.263144
-20944.53683,3,6137.367074
-20000,1,6139.458963
-27745.684022,16,6156.948844
-20442.888694,2,6160.074928
-20638.557093,2,6163.184308
-20000,1,6165.257685
-20000,1,6167.345678
-21004.994615,3,6171.491637
-21210.797319,3,6175.639713
-28873.764743,18,6195.162136
-20000,1,6197.250649
-20000,1,6199.346717
-23228.205377,8,6208.637327
-20561.952879,2,6211.749257
-20512.023417,2,6214.867534
-32122.41082,24,6240.568692
-20431.995343,2,6243.694458
-23693.580182,8,6252.982899
-20000,1,6255.038721
-20000,1,6257.129778
-20000,1,6259.230252
-26609.745991,13,6273.655634
-20000,1,6275.750966
-20000,1,6277.847024
-20388.204291,2,6280.973807
-20557.429035,2,6284.087719
-20000,1,6286.17334
-20967.010578,3,6290.321436
-21957.126272,5,6296.532953
-20000,1,6298.631738
-20789.344339,3,6302.780999
-20533.547546,2,6305.905599
-20000,1,6308.002293
-20000,1,6310.101553
-29565.890984,20,6331.663797
-20406.866068,2,6334.787029
-22947.831533,7,6343.041194
-20530.240524,2,6346.110879
-20000,1,6348.209225
-20612.676653,2,6351.321772
-20000,1,6353.421132
-20508.959488,2,6356.551115
-20000,1,6358.6504
-21190.061922,3,6362.794556
-20573.535617,2,6365.918208
-21059.066998,3,6370.062582
-20000,1,6372.158893
-20924.8108,3,6376.309583
-21638.29617,5,6382.51614
-20000,1,6384.613593
-20000,1,6386.711019
-21059.04927,3,6390.867348
-21327.108625,4,6396.045052
-20464.691218,2,6399.165684
-25085.654615,12,6412.568056
-20000,1,6414.669075
-20000,1,6416.765601
-20000,1,6418.867181
-20597.09871,2,6421.992627
-21341.491203,4,6427.174669
-22042.518645,6,6434.402085
-20000,1,6436.497222
-20000,1,6438.591293
-20000,1,6440.689528
-20000,1,6442.757631
-20000,1,6444.854358
-21249.655332,3,6449.004905
-20000,1,6451.1024
-20559.325071,2,6454.225086
-21114.890342,3,6458.373523
-20000,1,6460.474971
-20000,1,6462.576362
-20000,1,6464.673686
-23778.2184,9,6474.990992
-20000,1,6477.087174
-20000,1,6479.181173
-22368.170357,5,6485.390883
-20000,1,6487.489676
-20000,1,6489.587065
-21614.096477,5,6495.771265
-20000,1,6497.865015
-20000,1,6499.961756
-20000,1,6502.050565
-20580.626981,2,6505.168598
-22952.790609,6,6512.398415
-22798.959677,6,6519.625226
-20929.820924,3,6523.774923
-21845.382405,5,6529.971147
-28562.804721,17,6548.487818
-24918.341576,11,6560.839193
-20945.291524,3,6564.992873
-20000,1,6567.091032
-20000,1,6569.191478
-20000,1,6571.287767
-20539.745146,2,6574.572128
-24787.70557,10,6585.87153
-20000,1,6587.955352
-21015.315041,3,6592.104198
-20361.815247,2,6595.229526
-20000,1,6597.32606
-20000,1,6599.427368
-20362.287234,2,6602.546637
-20000,1,6604.636932
-20000,1,6606.731537
-20000,1,6608.817203
-20000,1,6610.915954
-20411.254528,2,6614.028637
-20000,1,6616.079545
-20000,1,6618.177253
-20444.411795,2,6621.299469
-20000,1,6623.397976
-21731.186374,5,6629.609795
-22529.302135,6,6636.831048
-20738.473897,2,6639.952878
-20000,1,6642.047022
-20617.116076,2,6645.150451
-20000,1,6647.25124
-20000,1,6649.344539
-20000,1,6651.439232
-20477.339083,2,6654.555125
-48867.097483,55,6712.055206
-20000,1,6714.137581
-24497.106298,8,6723.423674
-23299.582225,7,6731.687606
-22091.131884,6,6738.868895
-20576.637685,2,6741.993563
-20000,1,6744.093687
-20000,1,6746.190537
-20000,1,6748.27927
-23335.55147,8,6757.556801
-34797.812958,29,6788.409716
-21933.044247,5,6794.609004
-20000,1,6796.707165
-20000,1,6798.806741
-22073.363415,5,6805.013476
-20000,1,6807.105211
-20000,1,6809.216939
-20419.125345,2,6812.339664
-20000,1,6814.432236
-21784.446975,5,6820.623008
-20535.538963,2,6823.740307
-20000,1,6825.834322
-20000,1,6827.934732
-23098.860579,7,6836.190884
-20000,1,6838.290511
-21591.744672,4,6843.476921
-24249.649217,10,6854.825653
-20000,1,6856.920649
-20000,1,6859.019031
-20469.286455,2,6862.140997
-24559.297058,10,6873.481136
-20000,1,6875.579283
-20621.750123,2,6878.705061
-20464.342698,2,6881.825644
-20000,1,6883.914368
-20508.380773,2,6887.039256
-21029.406766,3,6891.191582
-23189.424567,7,6899.452835
-20000,1,6901.545166
-20570.171019,2,6904.663522
-20000,1,6906.75735
-20000,1,6908.851436
-20485.117982,2,6911.971483
-20000,1,6914.06291
-25073.30007,11,6926.423039
-20712.935555,2,6929.549604
-20000,1,6931.642672
-20000,1,6933.736944
-20000,1,6935.836864
-23316.891019,8,6945.099481
-20000,1,6947.195962
-20000,1,6949.286671
-20000,1,6951.369691
-20000,1,6953.464576
-20000,1,6955.56332
-21041.609119,3,6959.712601
-20000,1,6961.813141
-20000,1,6963.91096
-20420.450522,2,6967.03299
-20000,1,6969.129653
-20000,1,6971.228902
-21842.921712,5,6977.416945
-30316.488658,20,6999.009239
-20000,1,7001.111373
-20000,1,7003.205772
-20000,1,7005.303906
-24140.50214,8,7014.581612
-34937.622446,28,7044.409231
-20000,1,7046.510832
-20000,1,7048.608915
-20000,1,7050.688945
-21735.003241,4,7055.86701
-21964.87442,5,7062.070791
-22905.755885,6,7069.305691
-22652.350187,6,7076.514837
-20538.92228,2,7079.641484
-27208.183666,14,7095.075339
-20000,1,7097.170995
-21223.886272,3,7101.319144
-21193.284392,3,7105.459464
-21718.674346,4,7110.630111
-20000,1,7112.73035
-20000,1,7114.831356
-24211.303131,10,7126.151129
-20000,1,7128.24692
-20000,1,7130.347008
-20000,1,7132.447029
-20000,1,7134.543034
-20000,1,7136.627671
-20000,1,7138.725025
-20000,1,7140.823145
-20703.455507,2,7143.947247
-20000,1,7146.045748
-26947.966137,14,7161.496726
-22558.411812,6,7168.711675
-20403.007885,2,7171.830985
-20553.628176,2,7174.956175
-21028.211673,3,7179.103328
-20000,1,7181.194093
-20000,1,7183.281821
-25672.312355,12,7196.67674
-20540.261002,2,7199.790926
-21339.30073,4,7204.965231
-34907.884136,29,7235.828164
-20387.794337,2,7238.953955
-20808.01362,3,7243.102382
-24421.158222,10,7254.44364
-20000,1,7256.534935
-20000,1,7258.630283
-20000,1,7260.721374
-20000,1,7262.813459
-20000,1,7264.912124
-21870.830605,5,7271.107173
-20428.157577,2,7274.234685
-20000,1,7276.327625
-20000,1,7278.423501
-20000,1,7280.521739
-20000,1,7282.618877
-20000,1,7284.713341
-20000,1,7286.795458
-24402.488095,8,7295.910503
-20000,1,7297.958055
-20000,1,7300.003713
-21228.350448,3,7304.060207
-21334.2824,4,7309.171902
-20000,1,7311.250312
-20000,1,7313.345915
-28334.023273,19,7333.928328
-31193.827175,22,7357.583215
-20000,1,7359.679191
-20378.905446,2,7362.797515
-20848.010658,3,7366.940587
-20000,1,7369.031424
-25100.004982,11,7381.397447
-20000,1,7383.49111
-20000,1,7385.563224
-20000,1,7387.659837
-20000,1,7389.756916
-27605.833834,14,7405.213595
-20000,1,7407.296405
-20000,1,7409.392284
-20000,1,7411.487037
-23017.80856,7,7419.742977
-20000,1,7421.835556
-20000,1,7423.935302
-22243.583182,6,7431.165629
-20846.364364,2,7434.285666
-20000,1,7436.384377
-20000,1,7438.478685
-20000,1,7440.571978
-25478.067418,11,7452.910182
-20000,1,7455.008255
-20000,1,7457.102648
-20000,1,7459.199539
-22470.213406,6,7466.434931
-23620.355708,8,7475.718985
-20372.629041,2,7478.85753
-20479.375295,2,7481.978364
-20000,1,7484.075461
-20000,1,7486.170688
-20546.118168,2,7489.292575
-21474.382426,4,7494.473378
-42144.334113,45,7541.764731
-20555.543266,2,7544.88645
-20000,1,7546.979437
-20000,1,7549.074793
-20000,1,7551.174892
-20000,1,7553.265362
-21511.604608,4,7558.44298
-20000,1,7560.54035
-20000,1,7562.630694
-23234.621691,7,7570.883456
-20000,1,7572.985025
-20000,1,7575.085782
-24638.219871,10,7586.430695
-28470.758715,17,7604.950813
-20000,1,7607.042943
-21418.26042,3,7611.199451
-20000,1,7613.295163
-25985.215969,13,7627.697344
-29296.259542,19,7648.271143
-21668.433261,4,7653.454391
-27044.112324,15,7669.925239
-21120.234977,3,7674.069776
-26283.357229,13,7688.499553
-20000,1,7690.593201
-20000,1,7692.688084
-23271.582653,8,7701.941818
-20000,1,7704.037886
-21769.816362,4,7709.215408
-20000,1,7711.312816
-20000,1,7713.408923
-20000,1,7715.501302
-20000,1,7717.603019
-22958.031366,7,7725.841522
-20000,1,7727.932373
-20000,1,7730.031066
-20000,1,7732.126953
-20544.345048,2,7735.247224
-20000,1,7737.345989
-20000,1,7739.442824
-22922.653712,7,7747.705003
-20000,1,7749.800936
-21067.755275,3,7753.951573
-23190.956928,7,7762.217402
-20000,1,7764.311392
-20578.073206,2,7767.433031
-20000,1,7769.530466
-20380.108455,2,7772.65336
-20000,1,7774.750466
-21655.601241,5,7780.957691
-20000,1,7783.051372
-20000,1,7785.151273
-20000,1,7787.22493
-20000,1,7789.314577
-20000,1,7791.41092
-21492.273646,4,7796.585577
-28400.352111,18,7816.124802
-21761.848799,4,7821.279071
-20000,1,7823.376837
-20000,1,7825.471648
-20000,1,7827.569444
-20000,1,7829.663068
-24641.357872,10,7841.003071
-20683.878539,2,7844.126247
-20545.837828,2,7847.253728
-20000,1,7849.350721
-21142.433173,3,7853.49501
-20780.940606,3,7857.63888
-20563.114525,2,7860.759084
-20000,1,7862.857052
-20000,1,7864.957076
-20000,1,7867.053957
-20000,1,7869.152625
-21951.033813,5,7875.363246
-20977.518942,3,7879.500751
-20000,1,7881.590696
-20000,1,7883.686206
-20000,1,7885.763454
-20000,1,7887.844291
-22351.462363,6,7895.036639
-20000,1,7897.13131
-20000,1,7899.22681
-21154.244475,3,7903.377472
-27926.438707,16,7921.049442
-21009.976985,3,7925.197421
-23025.935055,6,7932.430823
-20000,1,7934.527587
-26648.217611,14,7949.959219
-20000,1,7952.053302
-20471.700729,2,7955.171192
-20000,1,7957.269542
-20000,1,7959.360732
-20000,1,7961.459663
-20000,1,7963.558016
-21775.295368,5,7969.762622
-20000,1,7971.856969
-20000,1,7973.956018
-21802.205679,5,7980.161485
-21055.821319,3,7984.314874
-20000,1,7986.413312
-20000,1,7988.505785
-20000,1,7990.608936
-21036.820594,3,7994.75931
-20532.829805,2,7997.903301
-25420.636938,10,8009.234965
-21310.402794,4,8014.417202
-20997.617881,3,8018.569058
-28340.917064,17,8037.107105
-20000,1,8039.206228
-20000,1,8041.302368
-20568.226566,2,8044.423828
-20000,1,8046.521075
-22670.553061,6,8053.753146
-20000,1,8055.850866
-20000,1,8057.949203
-23641.619525,7,8066.201437
-20000,1,8068.292965
-22161.852722,5,8074.50174
-20718.430375,2,8077.62766
-20000,1,8079.719938
-20827.763343,3,8083.871142
-27402.422257,16,8101.365685
-20000,1,8103.467025
-20746.149684,3,8107.617209
-21112.815786,3,8111.770603
-20000,1,8113.866771
-20000,1,8115.9433
-20000,1,8118.0433
-20000,1,8120.141489
-20000,1,8122.237462
-20784.823356,3,8126.391102
-21266.256152,3,8130.50555
-20000,1,8132.599675
-20000,1,8134.697157
-20000,1,8136.793056
-21408.907832,4,8141.969457
-20000,1,8144.064956
-21912.660908,5,8150.267018
-29935.314691,20,8171.865052
-22144.717128,5,8178.06702
-24307.488513,9,8188.354151
-20000,1,8190.414875
-22018.472932,6,8197.64307
-20933.489141,3,8201.791795
-20000,1,8203.888861
-20653.527804,2,8207.014996
-22301.882618,6,8214.242999
-20000,1,8216.330586
-22679.687415,6,8223.547421
-20000,1,8225.638489
-20000,1,8227.73104
-20000,1,8229.825189
-20000,1,8231.919369
-21950.62336,5,8238.120602
-20000,1,8240.214627
-20000,1,8242.306665
-24531.122228,11,8254.667061
-20000,1,8256.745399
-20000,1,8258.839478
-22431.249157,6,8266.07455
-20000,1,8268.166891
-21571.288924,4,8273.343777
-20000,1,8275.441702
-20000,1,8277.542446
-22118.833898,6,8284.765016
-20000,1,8286.86704
-20000,1,8288.962868
-20000,1,8291.060963
-20000,1,8293.159331
-26178.506992,13,8307.580724
-23427.866856,7,8315.81704
-20000,1,8317.913414
-22237.862178,5,8324.12084
-22130.644531,5,8330.321444
-20000,1,8332.420047
-20000,1,8334.516687
-20000,1,8336.615097
-20534.946211,2,8339.742167
-20000,1,8341.838854
-22717.510076,7,8350.081465
-21114.438786,3,8354.23005
-20000,1,8356.326043
-21006.791049,3,8360.462416
-20496.86802,2,8363.586571
-20000,1,8365.68157
-28355.266482,18,8385.237529
-20519.326373,2,8388.347148
-21365.170311,4,8393.527065
-20000,1,8395.621595
-20450.730806,2,8398.745089
-20000,1,8400.835109
-21117.469305,3,8404.986964
-21640.58689,5,8411.200531
-20000,1,8413.299183
-21080.661379,3,8417.446941
-21747.294678,4,8422.60787
-20000,1,8424.70535
-20000,1,8426.795289
-20000,1,8428.88568
-21585.548335,4,8434.065087
-20000,1,8436.160932
-39861.467448,40,8478.253244
-20000,1,8480.347526
-20000,1,8482.444098
-20632.043201,2,8485.569515
-20000,1,8487.657932
-22735.444093,6,8494.843872
-20379.231539,2,8497.972932
-20000,1,8500.071075
-20000,1,8502.169179
-20946.243623,3,8506.317507
-20000,1,8508.410933
-28630.051189,16,8525.907969
-24438.494848,10,8537.248254
-20000,1,8539.349125
-21433.454248,4,8544.519113
-21890.097036,5,8550.725592
-39651.816315,39,8591.856756
-20000,1,8593.93856
-20000,1,8596.035848
-30413.903635,21,8618.646936
-21276.480775,3,8622.801293
-20788.31163,3,8626.923452
-21340.882505,4,8632.103521
-26615.063365,14,8647.551653
-20000,1,8649.646907
-20000,1,8651.743015
-21557.104772,4,8656.922402
-21483.967767,4,8662.098636
-20000,1,8664.192455
-20000,1,8666.272824
-20000,1,8668.368942
-20000,1,8670.461627
-21391.121702,3,8674.619467
-20000,1,8676.717978
-20000,1,8678.799119
-20000,1,8680.894632
-20380.559701,2,8684.018474
-22408.791655,6,8691.240913
-21883.227423,4,8696.42343
-25540.4898,11,8708.795228
-20000,1,8710.892907
-20544.966639,2,8714.01965
-24003.557471,9,8724.328542
-20000,1,8726.4291
-22331.918776,6,8733.667122
-20000,1,8735.763095
-20000,1,8737.867211
-20000,1,8739.963163
-20000,1,8742.060558
-20000,1,8744.15874
-20764.236847,2,8747.282279
-20000,1,8749.374831
-20000,1,8751.475343
-20000,1,8753.571564
-21153.85415,3,8757.727005
-20000,1,8759.827083
-20000,1,8761.919686
-21208.522592,4,8767.090719
-20427.624304,2,8770.214995
-33390.31114,27,8799.013119
-22586.04249,5,8805.22403
-20000,1,8807.320468
-22321.181416,5,8813.515349
-20000,1,8815.611528
-20417.846323,2,8818.729403
-21229.756733,3,8822.877928
-20000,1,8824.977877
-21826.204012,4,8830.157103
-20000,1,8832.258252
-22335.265809,5,8838.458527
-20848.669102,2,8841.580806
-20453.494523,2,8844.699086
-20000,1,8846.789651
-20000,1,8848.893884
-20000,1,8850.991305
-20993.978403,3,8855.142749
-21966.535222,5,8861.351523
-21443.167146,4,8866.523292
-20000,1,8868.611985
-20000,1,8870.699037
-20000,1,8872.763001
-23291.546865,6,8879.99904
-24654.214784,9,8890.319039
-20000,1,8892.413936
-20000,1,8894.513638
-20863.392849,3,8898.666946
-27475.568525,14,8914.098739
-20000,1,8916.192782
-20886.851402,3,8920.344226
-20367.746885,2,8923.465171
-20414.998945,2,8926.584951
-28510.818847,16,8944.064867
-20663.771643,2,8947.191317
-20000,1,8949.285629
-22583.495686,6,8956.51586
-20000,1,8958.614936
-20000,1,8960.710373
-20000,1,8962.808945
-20000,1,8964.89211
-23199.769888,7,8973.147298
-20000,1,8975.238914
-20835.270594,3,8979.39508
-26222.559305,13,8993.820025
-20000,1,8995.920626
-21552.317546,4,9001.104193
-20000,1,9003.19592
-27718.619383,16,9020.667513
-20000,1,9022.764965
-22066.006496,5,9028.96511
-21832.789739,5,9035.174844
-22870.697759,6,9042.413073
-20000,1,9044.515061
-21675.952511,4,9049.697405
-21112.959754,4,9054.877541
-20000,1,9056.973673
-20429.306377,2,9060.096984
-20000,1,9062.192962
-20000,1,9064.291255
-23153.398748,7,9072.560425
-23033.099645,7,9080.824758
-20000,1,9082.919007
-22335.914171,5,9089.091952
-26003.694741,13,9103.510857
-24018.729939,9,9113.814439
-29850.498853,20,9135.429176
-23259.976153,7,9143.683372
-20000,1,9145.777068
-21337.297447,4,9150.939525
-20000,1,9153.034847
-20376.433799,2,9156.16423
-21075.286203,3,9160.311202
-21188.108162,3,9164.46294
-22364.81393,6,9171.70525
-20000,1,9173.801634
-20000,1,9175.905086
-21363.979199,4,9181.072855
-31648.989761,23,9205.778974
-21558.042636,4,9210.955583
-20000,1,9213.049424
-20000,1,9215.143378
-21729.759522,4,9220.317175
-20000,1,9222.411192
-20863.990464,3,9226.55951
-20000,1,9228.657015
-30312.775586,21,9251.489627
-21661.467013,4,9256.663744
-20000,1,9258.753413
-20000,1,9260.84732
-20000,1,9262.946402
-20000,1,9265.042924
-20000,1,9267.131893
-29698.932393,18,9286.682767
-22547.31785,5,9292.892277
-24117.787533,9,9303.195075
-20000,1,9305.281674
-21730.673702,4,9310.457085
-20000,1,9312.554746
-20000,1,9314.651329
-23031.950382,7,9322.905469
-25255.724953,12,9336.300587
-20000,1,9338.394088
-20873.891505,3,9342.54684
-20000,1,9344.641378
-25062.044724,11,9357.020945
-20000,1,9359.11547
-27396.138129,16,9376.61123
-22869.287045,7,9384.876648
-20721.601441,2,9388.000783
-20000,1,9390.097891
-25129.086835,11,9402.443026
-20000,1,9404.539156
-20000,1,9406.638891
-20000,1,9408.735369
-20386.781029,2,9411.860062
-20000,1,9413.957334
-20000,1,9416.053517
-20937.436911,3,9420.20129
-20000,1,9422.301018
-21191.543005,3,9426.451094
-20422.001649,2,9429.567357
-20000,1,9431.65777
-20924.54961,3,9435.807107
-20000,1,9437.908612
-22585.893321,6,9445.147332
-20000,1,9447.249608
-21811.32828,5,9453.457344
-22047.482623,4,9458.635145
-21284.621124,3,9462.777253
-20000,1,9464.877519
-20000,1,9466.972939
-20000,1,9469.068307
-23404.853408,8,9478.355127
-26600.113555,13,9492.744052
-20000,1,9494.838771
-20964.304493,3,9498.992881
-23135.037397,7,9507.253314
-22223.683494,5,9513.461193
-20000,1,9515.561229
-26802.595121,16,9533.051124
-20000,1,9535.145271
-20954.583612,3,9539.293027
-20978.725633,3,9543.443861
-20000,1,9545.541509
-21265.868121,4,9550.705073
-20000,1,9552.805017
-27621.714313,16,9570.269042
-20000,1,9572.361428
-22071.935183,5,9578.541536
-26421.392007,14,9593.981251
-20000,1,9596.079015
-22221.605472,6,9603.299443
-20615.271584,2,9606.428462
-20000,1,9608.524152
-22474.800326,5,9614.733203
-20000,1,9616.791397
-21771.475221,5,9622.998865
-20000,1,9625.097011
-20000,1,9627.191443
-20000,1,9629.278888
-20000,1,9631.375445
-20620.780962,2,9634.47519
-20000,1,9636.569376
-20000,1,9638.656635
-20991.389657,3,9642.805528
-29071.023074,18,9662.339365
-20536.393146,2,9665.467046
-20000,1,9667.55635
-20764.212183,3,9671.706326
-20000,1,9673.801329
-20000,1,9675.892222
-25229.887011,12,9689.266642
-25068.762613,11,9701.635056
-20000,1,9703.715068
-20000,1,9705.813096
-20000,1,9707.90522
-20853.524837,3,9712.079378
-20783.204757,2,9715.203645
-20000,1,9717.299084
-20424.051037,2,9720.423878
-21335.865049,4,9725.60502
-20000,1,9727.685003
-20546.944067,2,9730.807537
-20000,1,9732.897072
-20413.125256,2,9736.021732
-20000,1,9738.117338
-20000,1,9740.21422
-20000,1,9742.312847
-20594.335311,2,9745.435565
-22266.168441,6,9752.66789
-20000,1,9754.762749
-23380.381811,7,9763.020387
-20372.01019,2,9766.142888
-20000,1,9768.235374
-20000,1,9770.319859
-24574.728465,10,9781.65888
-28272.31838,16,9799.16123
-32959.727102,24,9824.869034
-21222.713495,3,9829.021268
-26901.054518,15,9845.493619
-20000,1,9847.586893
-26282.131245,13,9862.00101
-24443.768883,8,9871.290785
-22388.941522,5,9877.496147
-21777.754442,5,9883.703555
-22186.890072,5,9889.915398
-20546.70785,2,9893.039299
-20000,1,9895.129559
-20000,1,9897.228755
-20418.588703,2,9900.35318
-22801.928837,6,9907.58808
-20881.544461,3,9911.740121
-20000,1,9913.835168
-20000,1,9915.929436
-20000,1,9918.022954
-20729.116449,2,9921.151043
-20805.443677,3,9925.300858
-20000,1,9927.391415
-22324.303563,6,9934.62185
-21553.707164,4,9939.793579
-20368.621435,2,9942.917467
-20000,1,9945.011116
-20891.215346,3,9949.157444
-23487.62584,7,9957.385134
-20000,1,9959.475657
-20000,1,9961.575224
-24878.683319,10,9972.911177
-20575.319421,2,9976.033045
-20000,1,9978.125908
-22284.98277,5,9984.326803
-20416.427062,2,9987.441267
-20000,1,9989.535007
-20000,1,9991.62952
-20000,1,9993.722871
-20452.676135,2,9996.850842
-20000,1,9998.945569
-28364.405318,17,10017.467232
-23361.814797,8,10026.730743
-31590.060342,24,10052.455399
-24741.20775,10,10063.789794
-20939.985095,3,10067.941515
-20554.200329,2,10071.067513
-20000,1,10073.165025
-24659.028886,9,10083.46313
-22176.490859,5,10089.675736
-20435.051761,2,10092.80157
-20000,1,10094.897683
-21094.417287,3,10099.049084
-22733.036181,6,10106.281314
-20000,1,10108.378463
-20000,1,10110.47542
-20000,1,10112.533492
-20421.169257,2,10115.65043
-20000,1,10117.744741
-20000,1,10119.831898
-20000,1,10121.91884
-20000,1,10124.016662
-20000,1,10126.111606
-20000,1,10128.208908
-20000,1,10130.303377
-20000,1,10132.39822
-20000,1,10134.493997
-20000,1,10136.59676
-20000,1,10138.691662
-23144.397216,7,10146.957548
-20000,1,10149.053204
-20607.307315,2,10152.175461
-21500.778935,4,10157.35517
-21086.637191,3,10161.501846
-20000,1,10163.603785
-21622.574934,4,10168.786727
-20594.959755,2,10171.916962
-20456.572064,2,10175.038961
-20430.144179,2,10178.161291
-21791.94145,4,10183.329416
-20000,1,10185.425102
-20000,1,10187.519022
-20000,1,10189.623358
-22718.112987,6,10196.859957
-26652.865796,15,10213.329095
-20000,1,10215.423635
-20431.099892,2,10218.54686
-27242.626679,15,10235.040929
-20000,1,10237.117108
-20000,1,10239.216866
-22434.314061,6,10246.450807
-20000,1,10248.545598
-20000,1,10250.64346
-21257.144944,3,10254.800977
-20000,1,10256.879143
-20000,1,10258.977468
-20000,1,10261.071062
-20000,1,10263.167138
-20000,1,10265.265751
-20000,1,10267.345533
-20000,1,10269.441765
-27895.996468,15,10285.917064
-22222.679772,5,10292.085569
-20000,1,10294.179083
-20000,1,10296.273282
-22038.304419,5,10302.456662
-21178.344467,3,10306.605514
-20000,1,10308.699282
-20000,1,10310.795073
-21112.679027,3,10314.942722
-20000,1,10317.010319
-20000,1,10319.10995
-21183.758701,3,10323.256172
-20000,1,10325.357179
-24740.668851,10,10336.685143
-25256.022319,12,10350.091009
-26251.263556,14,10365.529842
-20000,1,10367.627795
-20357.983405,2,10370.74896
-20000,1,10372.845221
-24759.483634,11,10385.211169
-20000,1,10387.293275
-28293.323538,17,10405.789612
-21486.82355,4,10410.972856
-20000,1,10413.055489
-20914.14237,3,10417.207504
-20770.993614,3,10421.357123
-21070.405808,3,10425.507699
-20000,1,10427.607721
-20000,1,10429.708941
-22252.978653,6,10436.939463
-20773.570464,3,10441.093447
-20618.020882,2,10444.219069
-20000,1,10446.314814
-23236.97309,7,10454.548989
-20000,1,10456.645297
-21255.591765,3,10460.795412
-21482.702366,4,10465.949475
-20000,1,10468.049267
-20000,1,10470.144086
-20000,1,10472.238703
-20000,1,10474.333194
-21171.342328,3,10478.464341
-20000,1,10480.563344
-20000,1,10482.65706
-42775.903136,45,10529.933301
-22116.538068,5,10536.137432
-21571.894078,4,10541.317551
-20000,1,10543.407594
-34889.154922,29,10574.429005
-22126.708531,5,10580.615418
-25719.735559,12,10594.007029
-20000,1,10596.105144
-20000,1,10598.203686
-27956.723142,17,10616.705033
-20000,1,10618.796305
-20000,1,10620.890929
-20000,1,10622.988919
-23510.136034,8,10632.272361
-21193.70572,3,10636.415174
-20000,1,10638.506922
-21802.985435,5,10644.719104
-20412.34505,2,10647.837477
-25208.626211,12,10661.231104
-21558.488392,4,10666.407116
-20000,1,10668.500695
-20559.183955,2,10671.585097
-23022.313895,7,10679.842172
-20000,1,10681.939013
-22053.511386,5,10688.121215
-20888.306897,3,10692.275356
-20649.95673,2,10695.392036
-20000,1,10697.49152
-20000,1,10699.584964
-20000,1,10701.653214
-20000,1,10703.751292
-20706.718569,2,10706.883533
-21025.978368,3,10711.034223
-20516.078019,2,10714.151702
-20000,1,10716.24963
-20385.10093,2,10719.370317
-20000,1,10721.465582
