#{"t_start": 1602585710.1716993, "env_id": "DeeplengDocking-v1"}
r,l,t
-20256.21,3,635.682316
-20000,1,636.791578
-20129.4,2,638.427744
-20129.22,2,640.063885
-20000,1,641.174634
-20123.6,2,642.810646
-20000,1,643.921808
-20000,1,645.030206
-20132.79,2,646.666357
-20127.39,2,648.300987
-20132.92,2,649.936649
-20000,1,651.046615
-20000,1,652.158283
-20000,1,653.268228
-20000,1,654.377505
-20000,1,655.485747
-20128.97,2,657.123096
-20128.82,2,658.761208
-20000,1,659.86717
-20125.45,2,661.504269
-20233.85,3,663.665331
-20240.85,3,665.82686
-20000,1,666.936677
-20000,1,668.043895
-20000,1,669.1571
-20000,1,670.268644
-20261.42,3,672.429375
-20000,1,673.539288
-20257.71,3,675.701885
-20000,1,676.811935
-20000,1,677.924201
-20000,1,679.034754
-20000,1,680.140938
-20131.13,2,681.777788
-20000,1,682.886873
-20128.19,2,684.523718
-20000,1,685.633319
-20000,1,686.742216
-20117.02,2,688.376508
-20000,1,689.486073
-20463.96,5,692.697191
-20000,1,693.806426
-20000,1,694.91508
-20000,1,696.027461
-20000,1,697.136724
-20000,1,698.243714
-20000,1,699.350246
-20000,1,700.460142
-20131.42,2,702.09421
-20000,1,703.202783
-20127.3,2,704.836207
-20000,1,705.950455
-20000,1,707.062321
-20367.33,4,709.752322
-20000,1,710.861599
-20000,1,711.967344
-20255.03,3,714.128934
-20126.79,2,715.769694
-20124.93,2,717.405032
-20000,1,718.5139
-20000,1,719.627923
-20000,1,720.737069
-20131.96,2,722.37366
-20000,1,723.485889
-20000,1,725.275342
-20131.27,2,726.890145
-20136.99,2,728.524258
-20000,1,729.635834
-20257.96,3,731.800914
-20125.65,2,733.440177
-20404.15,4,736.131633
-20000,1,737.246547
-20139.37,2,738.887204
-20000,1,740.000345
-20260.28,3,742.167085
-20000,1,743.277279
-20136.98,2,744.91431
-20141.56,2,746.550886
-20124.48,2,748.186178
-20117.83,2,749.821362
-20134.37,2,751.462279
-20137.38,2,753.095099
-20000,1,754.207494
-20000,1,755.314951
-20258.0,3,757.480111
-20000,1,758.587763
-20000,1,759.695642
-20118.42,2,761.334306
-20143.28,2,762.973162
-20230.16,3,765.136219
-20000,1,766.245858
-20113.68,2,767.881988
-20000,1,768.992992
-20345.81,4,771.683844
-20000,1,772.79252
-20132.2,2,774.427444
-20000,1,775.542913
-20000,1,776.653332
-20000,1,777.762044
-20115.31,2,779.399826
-20000,1,780.513302
-20142.49,2,782.150687
-20123.72,2,783.788589
-20000,1,784.904125
-20000,1,786.016176
-20106.15,2,787.656397
-20135.41,2,789.294596
-20353.05,4,791.985993
-20000,1,793.097685
-20244.97,3,795.264338
-20253.27,3,797.431897
-20000,1,798.542355
-20000,1,799.658429
-20132.18,2,801.298811
-20000,1,802.410565
-20115.41,2,804.050141
-20000,1,805.164501
-20124.91,2,806.805253
-20120.36,2,808.444042
-20138.12,2,810.792858
-20935.61,11,817.164092
-21073.08,12,824.070855
-20702.36,8,828.871072
-21281.7,18,838.931261
-21000.81,11,845.308541
-20745.88,11,851.677776
-20607.91,8,856.477128
-20850.11,14,864.429156
-20927.06,12,872.219346
-20506.17,8,877.012778
-20706.4,10,882.863465
-20671.48,12,889.76989
-20893.37,10,895.621073
-20672.64,12,902.526047
-21042.59,12,909.428159
-20746.72,11,915.803876
-21179.52,14,923.759474
-20609.41,8,929.242546
-20544.15,7,933.508392
-20544.75,7,937.77884
-21079.64,13,945.209237
-20451.17,8,950.007353
-20812.12,10,955.857142
-20745.49,8,960.651692
-20753.83,8,965.449196
-20607.77,8,970.24376
-20981.23,11,976.620607
-20708.96,10,982.475477
-20542.78,6,986.218668
-20850.82,10,992.944972
-20758.37,11,999.319945
-20808.66,9,1004.642783
-20787.45,9,1009.96814
-20885.42,10,1015.76884
-20816.0,13,1023.203884
-21188.26,16,1032.216609
-21108.95,14,1040.168148
-21153.51,16,1050.265699
-20882.58,10,1056.115226
-20572.92,10,1061.961151
-20897.93,16,1070.968413
-20697.7,10,1076.824611
-20799.33,9,1082.146225
-21048.87,12,1089.028728
-20809.51,13,1096.460541
-20566.15,11,1102.83836
-20461.94,8,1108.580881
-20472.3,6,1112.326217
-20798.9,16,1121.341683
-21039.55,13,1128.782073
-20842.95,9,1134.105772
