#{"t_start": 1602585710.1716993, "env_id": "DeeplengDocking-v1"}
r,l,t
-20782.96,12,4974.552345
-20764.68,18,4984.645783
-20932.07,10,4990.527973
-20642.56,7,4994.827327
-20600.79,9,5000.183133
-20669.48,13,5007.640184
-20991.94,14,5016.518894
-20988.24,11,5022.930166
-20546.41,7,5027.233823
-21038.19,12,5034.165856
-20514.14,8,5038.991286
-20884.79,11,5045.406547
-20724.84,8,5050.234201
-20724.79,8,5055.053964
-20694.24,12,5061.982787
-20555.93,7,5066.285578
-21017.52,12,5073.223369
-20745.1,8,5078.918201
-20606.52,8,5083.742023
-20350.77,4,5086.463584
-21017.28,12,5093.396181
-20821.35,13,5100.854272
-20874.85,10,5106.737389
-20540.09,6,5110.505568
-21088.49,14,5118.489718
-21037.6,12,5125.420826
-20988.74,11,5131.819153
-20454.25,5,5135.953577
-20662.69,17,5145.513804
-20549.9,7,5149.814757
-20828.5,9,5155.170398
-20906.49,10,5161.04771
-20667.72,10,5166.920215
-20568.65,12,5173.844501
-20750.75,11,5180.251416
-20716.09,10,5186.130766
-20808.2,13,5194.471039
-20813.55,18,5204.559853
